userId,beer_beerid,beer_name,beer_style,beer_abv,review_overall,review_time
2,680,Brooklyn Black Chocolate Stout,Russian Imperial Stout,10,4.5,1322621468
2,867,Birra Moretti,Euro Pale Lager,4.6,3,1310693738
2,22352,Maharaja,American Double / Imperial IPA,10.3,4.5,1314665814
2,48279,Allagash Black - Bourbon Barrel Aged,Belgian Strong Dark Ale,10,4,1322615046
3,1731,Lone Star Light,Light Lager,3.88,1,1196098447
3,2684,Samuel Adams Honey Porter,English Porter,5.45,4,1196130360
3,21300,Samuel Adams Black Lager,Schwarzbier,4.9,4,1196307573
4,51512,Peeper Ale,American Pale Ale (APA),5.5,4,1296054136
4,65518,Pamola Xtra Pale Ale,American Pale Ale (APA),4.9,5,1296047711
5,131,Ayinger Celebrator Doppelbock,Doppelbock,6.7,4,1263007199
5,197,Obsidian Stout,American Stout,6.4,4.5,1321053725
5,234,Hacker-Pschorr Oktoberfest-Märzen,Märzen / Oktoberfest,5.8,4.5,1285362990
5,412,Old Rasputin Russian Imperial Stout,Russian Imperial Stout,9,4.5,1321643919
5,645,Trappistes Rochefort 10,Quadrupel (Quad),11.3,4.5,1305851542
5,695,Duvel,Belgian Strong Pale Ale,8.5,4,1265418545
5,705,J.W. Lees Vintage Harvest Ale,English Barleywine,11.5,3.5,1267911418
5,752,Guinness Foreign Extra Stout,Foreign / Export Stout,7.5,3,1291069259
5,776,Samichlaus Bier,Doppelbock,14,4,1293325541
5,779,Weihenstephaner Korbinian,Doppelbock,7.4,4,1286493800
5,782,Samuel Smith's Imperial Stout,Russian Imperial Stout,7,5,1267486706
5,817,De Dolle Stille Nacht,Belgian Strong Pale Ale,12,4,1293310179
5,857,Trappist Westvleteren 8,Dubbel,8,4.5,1310243206
5,945,Adam,Old Ale,10,4,1305925263
5,1008,Moonglow Weizenbock,Weizenbock,8.7,4,1259713838
5,1009,Old Horizontal,American Barleywine,11,4,1300747131
5,1013,Storm King Stout,Russian Imperial Stout,9.1,4,1317339173
5,1115,Lion Stout,Foreign / Export Stout,8.8,4,1253051621
5,1160,Stone Imperial Russian Stout,Russian Imperial Stout,10.5,4.5,1319845597
